Category,category_id,Subcategory,subcategory_id,amount,year
政策,1,議会費,1_1,1091960,2014
政策,1,総務費,1_2,15352416,2014
生活・福祉,2,民生費,2_1,76288689,2014
生活・福祉,2,衛生費,2_2,14820690,2014
生活・福祉,2,労働費,2_3,309545,2014
農林水産,3,農林水産費,3_1,2580531,2014
経済,4,商工費,4_1,11573878,2014
街づくり・治安維持,5,土木費,5_1,25666055,2014
街づくり・治安維持,5,消防費,5_2,7563998,2014
教育,6,教育費,6_1,19603276,2014
借金返済,7,公債費,7_1,21402968,2014
その他,8,諸支出金,8_1,14645994,2014
その他,8,予備費,8_2,200000,2014
